index,task_type,prompt,prompt_en
668,vttie,将文本 'NIPS' 替换为 'CVPR',Replace the text 'NIPS' with 'CVPR'
670,vttie,把下面的字跟数字去掉,Remove the following words and numbers
675,vttie,将文本 'hotwind' 替换为 'cool breeze',Replace the text 'hotwind' with 'cool breeze'
678,vttie,把“大话西游”改成“神话懂游”,"Change the name from ""Journey to the West"" to ""Journey to Myth""."
685,vttie,将文本 'SNP' 更改为 'Call me',Change text 'SNP' to 'Call me'
695,vttie,在“探秘”前面加上“超级大”,"Add ""supersized"" before ""explored""."
697,vttie,将文本 'chicken' 替换为 'beef',Replace the text 'chicken' with 'beef'.
702,vttie,"Add the three characters ""苍穹决"" to this image.","Add the three characters ""苍穹决"" to this image."
705,vttie,将文本 'SPA' 替换为 'Relaxation Oasis',Replace the text 'SPA' with 'Relaxation Oasis'
708,vttie,"Describe this photo and replace the text with ""人生靠自己，三分天注定七分靠打拼"" in two lines.","Describe this photo and replace the text with ""人生靠自己，三分天注定七分靠打拼"" in two lines."
715,vttie,"Remove the text ""戚风蛋糕"" and rewrite as ""鸡蛋蛋糕""","Remove the text ""戚风蛋糕"" and rewrite as ""鸡蛋蛋糕"""
717,vttie,将文本 'FERMENT' 替换为 'delicious treats',Replace the text 'FERMENT' with 'delicious treats'
728,vttie,"Little Yue, can you replace the character ""曹"" with ""叶"" inside?","Little Yue, can you replace the character ""曹"" with ""叶"" inside?"
735,vttie,在这张图中加入俱乐部这三个字,Add the word club to this picture
738,vttie,在横线上写增加“抬高80公分”,"Write ""80 centimeters higher"" on the horizontal line."
739,vttie,将文本 'me' 替换为 'he',Replace the text 'me' with 'he'.
