index,task_type,prompt,ori_image,target_image
326,tie,Add a spoon next to the bowl,e12ea390e8464fc6a4106afa589a7d65.jpg,
327,tie,turn the chair into a stairclimber,ae29b435305f4bdba446f619491ae11c.jpg,
328,tie,Delete the blue trolley from the image.,1ee9c4c996284bbeb49fd3278ff71db0.jpg,
329,tie,Replace image style with fantasy art,92fd3859f59a4c969d594322047dbc4d.jpg,
330,tie,Remove the eyeshadow and lipstick.,243e1a7da40840d898f1989b254b102d.jpg,
331,tie,Change the doll’s material to cotton fabric.,acab5585a1b04dbc8d9e9989e38ba882.jpg,
332,tie,Adjust the image style to a bubble-like aesthetic.,8a8ec07f87784979a0bb1349b6c380f3.jpg,
333,tie,Delete meatloaf,531ca831c484428280f335e40390fe79.jpg,
334,tie,Get rid of the shadow of the covered area.,0bf3a6576e4848d0afbdb7fa4bbc2d86.jpg,
335,tie,Delete the two engines from the airplane's wings.,baba2da5a39b49679299ca0369ff9056.jpg,
336,tie,Replace the green cup and its light-colored saucer on the table with a pen holder.,babc524ea15a4e108fdf100e7eceb414.jpg,
337,tie,Remove the striped black and white tie the man is wearing in the picture.,4a0e26a499484e4e8c86316331b157fa.jpg,
338,tie,Take the cell phone out of the picture.,9d5c25c90732443ba17fa32ef4834276.jpg,
339,tie,Make the scene seem like it is an outdoor flea market,a987901d75b24e2181c2a9b12a4bff85.jpg,
340,tie,Get rid of the white polar bear walking on the rocky soil.,fd05e9591ae744b4979b3fafcbe1fe10.jpg,
341,tie,Change the sign into a stop sign.,0e71931c544c4c1da0ef8a202427da94.jpg,
342,tie,Add a person on an innertube floating on the river.,19bd34b60266431fbb44da5f56493940.jpg,
343,tie,Change the bowl into a styrofoam one.,1e92a5b916904b33bf54f073b1a0c5e7.jpg,
344,tie,Construct the elephant from bricks.,91b4ebc8117f47c99a1b8736a53e8504.jpg,
345,tie,Make the photo seem like it was taken in a hotel bathroom.,6b8c797e2e254247a8fdece6f9901188.jpg,
346,tie,Change the grass to sand,08247d18266747279c96242df1598dfe.jpg,
347,tie,Remove all the grass. ,7894668fb31b4929865576808e09e6be.jpg,
348,tie,make the person show slightly sad facial expression,24bc41da14a94f2d956d12865e72aff9.jpg,
349,tie,Make the person sit on the other side of the bench.,9db0739fa79a412fa68796f8f2fc460c.jpg,
350,tie,Dye her hair brown.,d79c76629ee8421b8eed2c267f87de2c.jpg,
351,tie,Have it so that it's sunny outside. ,00477d219d8d480fa78380405b0e7480.jpg,
352,tie,remove the pizza,7531349946354e4d80a421f1f35cff4f.jpg,
353,tie,Get rid of the white and yellow snowboard stuck in the snow on the mountain.,63e17a281ac34e18a950b34dc559ee7c.jpg,
354,tie,Getting a thumbs up from a picture character,2c69b68d2e4c4400b16e66e3da283adc.jpg,
355,tie,Make the picture seem like it was taken at night,9eeef6dae82b4ca39287e33ba4500798.jpg,
356,tie,Generate an image of the character smiling based on this photo.,d3774e136a514d2aa7f9b7ccdf9b8c8a.jpg,
357,tie,convert the image into a Chinese ink wash painting style,095786a544e8494c97af5b1097df41c2.jpg,
358,tie,Make the picture seem like it was taken at night,12db395aaac24933ad77a299eff83f77.jpg,
359,tie,Add a black short-sleeved T-shirt to the upper body of the person.,2617b2d2c9e24b96b008cc91c1d72e97.jpg,
360,tie,Turn the image into a cute chibi style illustration,4acf5e0fa76c4d1cafe8b7902f49dc51.jpg,
361,tie,"Add clothes to the person in the image, make their gaze slightly disdainful, and change their posture to a crossed-leg position.",ebfc1672cf944165b96e082ce2385dcf.jpg,
362,tie,Change the background to a spring park while keeping the person unchanged.,ffb7309ca7664e58817d6b89cb66297b.jpg,
363,tie,Add a pair of white shoes on the floor,aa8136bbaeae467795d4eca70775ef52.jpg,
364,tie,Remove the tv on the left from the wall. ,aebc8d607c2d487fb9f0f8f31c5c2dca.jpg,
365,tie,Add a Christmas wreath to the middle window.,a01812b81d9c4752807dda871101f56d.jpg,
366,tie,change the color of goat to yellow,ae0b62ea61f6460cb4f7f3bd2405fac2.jpg,
367,tie,Make it look like it is sunny weather,d6db443c7a2245c988b702d64245361a.jpg,
368,tie,Add a spatula picking up the food,dc4bb91cc0b8472f99f54f58a5066ed0.jpg,
369,tie,Add a luggage rack to the red car,807fe403191841f8b613b2f781cb1f02.jpg,
370,tie,Get rid of two of the three lights.,57603a864a5c487292ccd9a32d8bd0a0.jpg,
371,tie,Change the image so it appears to be easter.,df577c6648dc42808bfd50646eaaa841.jpg,
372,tie,Add a blue rug on the floor below the man.,16589af7115241dfb37d980f9677c0ef.jpg,
373,tie,Light the candles for me. Add a little candlelight.,1ab50f0546ce447f9902927c9bcce795.jpg,
374,tie,Add a cat on the counter top.,be0a9e9035334b8ab16e5b2938f153dd.jpg,
375,tie,Remove the girl from the window.,ae574d5922cf42edb9b163ffb6d83c3d.jpg,
376,tie,Delete the roll of toilet paper hanging off the wall.,6312262d002742f19fa8c22fc0f032b6.jpg,
377,tie,Make the picture seem like it was taken during the fall,7b0b01a177a74f7abedf0b5c03485178.jpg,
378,tie,Turn all the stickers on the refrigerator upside down,2e1384a7cc8e468a83e40e68f07fdf58.jpg,
379,tie,Remove the sprinkles from the donut closest to the camera.,e167bfabbe224f02b20cc99badb0eb3d.jpg,
380,tie,add a tennis ball flying towards her,e07e6ea4945d4b988f2f9f060de22e1b.jpg,
381,tie,Add a blue BMW to the driveway.,5b89b68dc2c34687a067df8b31a5ad43.jpg,
382,tie,"Please remove the woman on the outside of the car and keep everything else, then re-export the picture to me.",c386cb827eb046eba5792f77b9fc3492.jpg,
383,tie,Replace the crystals in your child's hand with glowing square boxes,b5b62b139c984048aacc4331d0f16865.jpg,
384,tie,The people should all be standing on the left side of the yellow lines.,dc09c1b6b9af4f8e9f3243d137180318.jpg,
385,tie,include a table with a plate,cd95a90bb27d4265ba705c4c43b7aca7.jpg,
386,tie,Remove the hood above the stove.,2957dfe760574a72be9032de54e18fe3.jpg,
387,tie,Add a green stocking hat to the cat's head. ,1bfc3f1cf15a4ba0ad460acdf1911b82.jpg,
388,tie,Take the Apple logo off the mouse.,662b56684a714194baa0468cd66a9bc0.jpg,
389,tie,Add a knife to the center of the clock. ,951d93542508497695e067063ef1562a.jpg,
390,tie,Remove the music stand and sheet music from the stage.,8c60a8304a9a4859a9245c9577d7595f.jpg,
391,tie,Remove the people from the background,d81b303338f74bc2ae6993952942e19a.jpg,
392,tie,Remove the hat from the head of the person at the front right of hte photo.,46d4bd0680074ae6b4b5697c82863aa1.jpg,
393,tie,Add a baseball on the counter,0bd573f99c9242148acb6437498eb1a9.jpg,
394,tie,Make the photo seem like it was taken during a snow storm.,7b4ad21e8fa7499aacdecc2b4a6f6a69.jpg,
395,tie,Add a black hat on the man's head,ad18bd77771142deb25fe9ea454efcc5.jpg,
396,tie,Fill the room with a large family,cac2003fc665451590f49efb27492d99.jpg,
397,tie,convert the basket to a green bucket.,f8f39377ae8343afa4bf0cc7b66ceadb.jpg,
398,tie,Change image style to bubble style,f128c8c5f0be4276a5cce1b3fe585188.jpg,
399,tie,"enhance the face, natural and attractive",25f71f7fdca440aeaec7eaca28bd8269.jpg,
400,tie,turn the long grass into brown hay,bdf5b3aabd7f48bcb03b7ca0b18d9dfe.jpg,
401,tie,Add leaves to the trees.,c1a03bcb30a84dcaa8c999c6857d3bb3.jpg,
402,tie,Make my face look better.,73115ddf5eaf46b59157a74faa95dd7a.jpg,
403,tie,Makes the person in the image look younger.,703cbf59806f40e39952e8b74a3f08a4.jpg,
404,tie,Change the notebook into a document folder that says classified,3f6eefd3063f48179836ceed9ff3a6f5.jpg,
405,tie,"Add a young Chinese woman next to the character in the picture, with a bright smile, pure type and natural form, the character in the picture is not changed",46c6d36d57bb4cd8a5b1380483e2ec53.jpg,
406,tie,Adjust the background to a beach.,2fb9d8cbd4f6488ab17282d36511f31d.jpg,
407,tie,Create a rubber-textured turtle identical to this one.,98d29f4968ab4f6183103aa06c143cd9.jpg,
408,tie,Enhance this photo to make me look better.,74e0b77ee70c456e94309e37482848ee.jpg,
409,tie,Add a Darth Vader Poster to the wall.,e3a613ce3ab146f5b4a6c7691565d895.jpg,
410,tie,Change this image to a white background.,a859bacd88414852a6852bda0ec6fff8.jpg,
411,tie,Make this into a wedding cake,7489fec22f0f44c9ae43a51e27bb798a.jpg,
412,tie,Remove the cat from the top of the tv,7dc51bfe1fab405fbb63eca370b683a5.jpg,
413,tie,Remove red dumbbell,ba035d0be5724c7bad5e49d891b6c0f5.jpg,
414,tie,Add a bowl of oatmeal to the table.,9d9552d83c80453c84ed2a35bd8bc9c5.jpg,
415,tie,Add a bowl of fruit to the table.,52911dfcedf14259af165b458014140b.jpg,
416,tie,Insert a doll on the ground in the background.,1dc08e85783f463799e329a664aceee5.jpg,
417,tie,Change the color of the frame to orange,eb7a74c6c2e543638b8142e6c6345c1f.jpg,
418,tie,Remove the picture from the back wall of the bathroom in the image..,1ec2dfefaa9c4768a958bb26542749f9.jpg,
419,tie,change the firetruck into an ambulance.,1824adb463ea46899b285237a2480d5d.jpg,
420,tie,"enhance the face, natural and attractive",c251e1abab4c4276881bd0396ba5836a.jpg,
421,tie,Can you add penguin eyes to this picture?,c3e2e28d08a94872ba71b6c8f2d0626c.jpg,
422,tie,Have it be rainy and wet.,730d542ef6074faa87237d1e46dcb06b.jpg,
423,tie,Get rid of the large trash can behind the young girl.,ed65b743eea94d72af05ac33b5972f93.jpg,
424,tie,Delete the tennis racket leaning on the bench,43896829aba94d918ae1548bb22994c3.jpg,
425,tie,Remove the bicycle between the two people.,8233c308929d43ddb6c2ec98bc23c036.jpg,
426,tie,turn the grass into the ocean,7dca8f4da753412bbe486737bfbddd8a.jpg,
427,tie,Replace the baby with a puppy.,8d6f2323dd3849d4ad73af40120447c0.jpg,
428,tie,Delete the white railings,4ffefad9f5674f8e9c97215828fc19dd.jpg,
429,tie,Add a green blanket on top of the dog.,8db2197462cb4fe480337fbbf09db7d6.jpg,
430,tie,Generate my adult appearance.,47f1e79b1a85471d9013b013459f9228.jpg,
431,tie,Remove the cheese from the hot dog. ,1d775485af1e4ba1ab435f0ebbc4844f.jpg,
432,tie,Make the photo seem like it was taken during a rain storm.,a0264e93cc354c49bba9a13de40c36b4.jpg,
433,tie,Adjust the image style to a watercolor effect.,95074075131e4877bf1ca7fb95c339e1.jpg,
434,tie,Get rid of the spots on the banana.,3a20ad1fa7194f51984b0371be33feda.jpg,
435,tie,Rendered into Pixar Animation Studios 3D textures,38ed8dc7a66842d5ba9a3fd41e5f4939.jpg,
436,tie,change all the colorful sprinkles into grains of kitty litter,8a4be536ceb84bdbac4882705fda8afb.jpg,
437,tie,Get rid of his beard.,461af439c9854276a0e7b9c3712831c7.jpg,
438,tie,Repainted in the Monet style,d02d4c2f979145d69c98da3bbb98b815.jpg,
439,tie,Add a lion next to the elephant.,f069230897c6411d8379a504026c3e98.jpg,
440,tie,Insert a white cat sleeping on the seat of the red motorcycle.,5455daad791a488ca9dc09e2330179fe.jpg,
441,tie,Add a pink toothbrush to the counter,aafceeb55d8448d184bb5dae3765a216.jpg,
442,tie,Transformed into Japanese anime visual style,de5abfd288c744d8b81519954f0c3c93.jpg,
443,tie,Add bleachers behind the fence,3115506e96c049f0925a8e291a686790.jpg,
444,tie,Put a white plate on the counter. ,9ef6dffb5ce94f098180d07f5f0e3b84.jpg,
445,tie,Add a man walking next to the other man,426b60e6fc90461d8b90d72b70dc6ca1.jpg,
446,tie,make it lighter outside,860a35c293ea42b994d11690e3ea7e26.jpg,
447,tie,Remove the knife from the photo,6f63b388cb764c7fa70da468db6068fa.jpg,
448,tie,Remove the building from the image.,1a2ad142801b4380bac7d4e2c6645c82.jpg,
449,tie,Add a bottle of ketchup to the table.,e5ca5d5d5df74975b32f9366d5db6f81.jpg,
450,tie,Add a plane in the sky,8c7cd38dacf24442b5ab7b7c9d188941.jpg,
451,tie,Add a butterfly fluttering around a cat,c63789e989c14fc5b0ca1d7bb5eb9b12.jpg,
452,tie,include a butterfly landing on its mane,c58c9fcc19d94cad95f3e7ba4642e1b6.jpg,
453,tie,Change the white bench to one made out of wood.,30a67581784e4a74885814055570657f.jpg,
454,tie,Add a hot pink mohawk to the mans head.,4194c0af52db492aaeea5af7f7570aeb.jpg,
455,tie,Add a small teddy bear in front of the book. ,1a7fa832024d48ee92b1f6b5b38b42cf.jpg,
456,tie,Add a bench bu the tracks ,0cb463ee5ab14319b6ed5d999d5592ec.jpg,
457,tie,Add a basketball going through the net.,0b624c6a27b8422080de620ed08ef901.jpg,
458,tie,Replace the ram in the very forefront with a medium-sized sheep dog.,f42c674c858b4955801ab08e5d46845b.jpg,
459,tie,Add a stop sign in the back of the photo,d5aa549121bb45919ab3e0b73857b4ba.jpg,
460,tie,Add a man riding a jetski near the surfer.,bddda1ab0f844d67989288e8445378a8.jpg,
461,tie,Get rid of the hat on the closest snowman.,ed4d12c0eb5640fb99f95cef31d360fc.jpg,
462,tie,Adopts the art style of Hayao Miyazaki's animated films,8233ab7e129f4bbcae3821af8542541d.jpg,
463,tie,Adjust the background to the beach,cba2ab69fc154c29b7d55391fb8e5a4c.jpg,
464,tie,Add a toy doll sitting on the blue chair.,b3d300c4053540af82f035a45c6c4df2.jpg,
465,tie,Change the hat’s material to paper.,b337de35437240d8934e6bc85cebf175.jpg,
466,tie,Add a cat jumping in the air in front of the womans hand with the mit on it.,29fad974d78441929815d0452488fd67.jpg,
467,tie,Remove the bag from under the cat.,31c8d99c0f5942769954a0a71ef9e4d7.jpg,
468,tie,Add a green hat next to the glove,a7a70ec01530442d95b6a5bac8dc42b4.jpg,
469,tie,Remove the bangs.,a1de9df9de264be6be1a64d478307fbb.jpg,
470,tie,Add a whale to the mural painting on the wall.,f52d4108e97a41ca8462dfc7bbbed4cd.jpg,
471,tie,Remove the sink faucet from the sink.,0c00312f75354d7cb4cc1c88bf2cc07f.jpg,
472,tie,Delete the small cake that has the number 30 written on it.,61072007c5a0452eba32967fadeeaee8.jpg,
473,tie,Swap the cake for a pie.,7d0e5e5c3e444b0caba2994ed20a03ba.jpg,
474,tie,Add a trash can on the floor to the left of the toilet.,8863c46534ac49f9957d383068d0268c.jpg,
475,tie,"Make him more handsome, with sharper eyes.",b1c00eda3a34448daaecc9bd6f872369.jpg,
476,tie,turn the poster in the back into a window.,4bcab552a51a468e93086cd1a77be44d.jpg,
477,tie,Make him lose 20 pounds,f1ec388fe5a4455ca4f191be1ed13c4a.jpg,
478,tie,Remove the house in the background of the image.,9c69764621ca47f89a82f968108d2fb9.jpg,
479,tie,turn the blue door into a tie dyed curtain,9df6f5bc96ed4f0db09d7896dbe14b1c.jpg,
480,tie,Add an elephant to the toothbrush ,3ebc6a699e4548f9a8ad7c6edac727aa.jpg,
481,tie,Modify the background to be filled with blooming flowers.,ce3497c4c4bf428384dde52fcefad749.jpg,
482,tie,Add a  brown dog jumping up to catch the frisbee,aeec29571dda4a01b3e9f293c79c4fd1.jpg,
483,tie,Remove the sign that says Library. ,b1a2c00ff30644bfb218939d394b4c50.jpg,
484,tie,Remove black hat,5231d23f3cef47eb98ecfbd30e5aac2c.jpg,
485,tie,Remove all the peanuts inside the white bowl. ,7e2858587a154eb98dc31149ecbb1eec.jpg,
486,tie,Remove the tv from the photo,d08fc0e55836427a887463a4a8c837d5.jpg,
487,tie,Change the bench into an old-style iron bench.,4d28879e392e4e42a034030fa21273a2.jpg,
488,tie,Make it so that the street is no longer wet and reflective.,130f336991f84d608b7cb923f75453e6.jpg,
489,tie,Adjust the background to desert,7cf6d7eb31254006b45138f23140c814.jpg,
490,tie,Change the image so it appears to be foggy.,60774e42906744b1bb27f5f24704d792.jpg,
491,tie,Remove the helmet from the man's head.,85328cb0439d4b5fb1bf8a0d00cc4a8d.jpg,
492,tie,Remove the knife from the photo,cd35e4eaa7694adb9aa8b4b2eac1977b.jpg,
493,tie,Switch the image to a high-resolution Impressionist painting.,d8969190dd154e89b2eb32c0c9a0ad5d.jpg,
494,tie,Erase Zebra,b838f4e6a3d34916ada7b131a03e1123.jpg,
495,tie,Add a cat on the bed.,cad41a590a5b45228a7d58a0778e0207.jpg,
496,tie,Add a can of shaving cream to the counter,41a62956ed3e4feabceb071ab0276527.jpg,
497,tie,Put a green bookbag to the left of the white laptop on the bed.,81388a628a6340b6b5bd366e87e66754.jpg,
498,tie,Remove mirror above the sink in the picture.,c38e3efcc4e5498e92ceddb781a8c259.jpg,
499,tie,add a person standing next to the bus,1d928dd9e909445a9882eaf7435909b0.jpg,
500,tie,"Retouch this photo, making the hair platinum blonde, improving the hairstyle at the ends, and making the fireworks more brilliant and colorful.",e3982b71c99c4753a269aa8ba8c279dd.jpg,
501,vttie,"Add the letter ""B"" to the baseball.",52c985f976574561acef2f8915ebf62a.jpg,
502,vttie,Add the word 'room' to the white wall to the right of the lamp.,fa70938c664c48d5aaab98298cfb185c.jpg,
503,vttie,Add the word 'bench' to the ground in front of the bench.,786c0f0b5cc54e23b2592bb3bbb55a7e.jpg,
504,vttie,Add the letter A in pink frosting to the top of the cupcakes.,2881819abdf44b2a921f3380edb722d1.jpg,
505,vttie,Remove the word 'park' from the image.,2bd91a5ef8f247d2a87c357f23cdfec5.jpg,
506,vttie,"Add a sign that says ""Free Rides"" where the man in blue shirt in the front is holding. ",a0232b7198624bcfa508aa5026cc8dc8.jpg,
507,vttie,Add the word 'grass' to the grass.,3ce92a0658c1446cb7c5064fcd7f9525.jpg,
508,vttie,Add the word 'cat' in white above the cat.,7449942552d64e3cb1316d9da63f0ba2.jpg,
509,vttie,Replace the text 'CLASSIC MOJITO' with 'BABY MILKSHAKE'.,1bf77e1dbd4e4d78946bb08a2ba19857.jpg,
510,vttie,Replace the text 'duolingo' with 'greenowl',cdb0706754f041728fd94eb856dbd206.jpg,
511,vttie,Add the word 'brushes' above th right brush.,268e93573b08449883230f72a14963c5.jpg,
512,vttie,Change the title of the book to The Teddy Bears' Fall Picnic.,07da5d57295e400aa73a856086793b22.jpg,
513,vttie,"Add the letters ""CBS"" to the black band on the 4th surfboard.",ea6e642f121741cdb346b8f77ac9814b.jpg,
514,vttie,Change 'guiness' to 'rich'.,87146b2a2ab344099131168e9f2876f9.jpg,
515,vttie,"Add the word ""Elegance"" above the towels on the wall to the left.",8ff87b882b9740269c3d5a2ef0deadb4.jpg,
516,vttie,"Add the word ""PAWS"" to the lower center in small letters and italic.",6043355d8af54e5db8f66618511816a7.jpg,
517,vttie,Add the word 'cup' onto the white rim of the cup.,70855c2c2b1549199da2d30409f1f6fd.jpg,
518,vttie,Help me change Zhuji to Yongkang.,8cfaf5806dd34e0e9fd4d100897363ce.jpg,
519,vttie,Change the number from 27 to 72.,7bc2e5e2aadd4989b5aabcc6e10e17bc.jpg,
520,vttie,"Help me change ""To Youth"" to ""To Youth"".",d4ca4aaa0f9c4b878d51f841267c2044.jpg,
521,vttie,Replace the text 'Science' with 'Nature',2746d8b4c0694d61b7401c53e5d48fc3.jpg,
522,vttie,Remove 'copy chief from random house',15a74e41b3ee4951bb0203ad27d5be1a.jpg,
523,vttie,Add the word 'helmet' to the helmet.,344a74f8741449c2be92bd662aebc8f2.jpg,
524,vttie,Remove the words This is camping from the image.,780d1e428f4e4b8795d7c56b80559f9f.jpg,
525,vttie,"Add the word ""Office"" to the wall over the phone jack.",c3050eebcd2244ed9857e8c5ed5b4004.jpg,
526,vttie,"Remove the word ""Stop"" from the red sign.",de820ddbe03647f889cc13dd4da50b06.jpg,
527,vttie,Replace the text 'PIZZA' with 'PLAZA'.,ecf86efce780400b92c2b5c5a1bdf21c.jpg,
528,vttie,Add the words surfs up to the surfboard.,a64d4bd46bdb437386a36c35711f767f.jpg,
529,vttie,Add the word 'nike' to the front of the white shirt the right girl's wearing.,fa246916ffc4434b880a09d01589bcb0.jpg,
530,vttie,Add the word 'happiness' across the bottom of the image.,c602f2f5aedb47e690df2447af8b7438.jpg,
531,vttie,Add the word japan to the ground.,574467554b9b4d509cf13533c4061377.jpg,
532,vttie,"Change ""so capricious"" to ""so arbitrary"".",a42b471a4cfc481d88ee0f2803050f8b.jpg,
533,vttie,Change the text '10000' to '18000',a26655d1444742dd9c17008dbe8c1b82.jpg,
534,vttie,Add the word 'safari' in cursive to the bottom right of the image.,d965a80f1e6a4e19b5242e6a1fbf2137.jpg,
535,vttie,"Add the word ""EXIT"" over the doorway.",59ad23c40a974aa3967de18760a3427a.jpg,
536,vttie,"Add the words ""why the long face"" over the head of the horse on the left.",04a2fc66c00b41168b8d5bb7d4c48422.jpg,
537,vttie,"Add the phrase ""Wall Street Week"" to the lower right corner.",9f4b96ba0d9d48e8b4fe381a31d5ccdc.jpg,
538,vttie,Add the word 'knife' to the knife's handle.,9c7e3c26124848a4a5e15559468ab63a.jpg,
539,vttie,Replace the text 'SUMMER' with 'WINTER'.,bb5d8ce4f8494c2982beedefd11037f8.jpg,
540,vttie,Add 'GAMES' in the center of the image,70177d55cbfc460d9bb1b1a3352b4cd1.jpg,
541,vttie,Take the words off the side of the car.,96af21bc333f4cd894300bc21cf21efc.jpg,
542,vttie,Remove the words from the bottle.,37980a791aac4b0b9c6c5c200b3bd69d.jpg,
543,vttie,"Change the quote to read ""Happy Hour 5:00"".",3afea8096f8747a09b6f76db2310da8c.jpg,
544,vttie,remove the text “copy chief from random house”,aef36bb0837042c69d18ccb5e9130525.jpg,
545,vttie,Add the word sky to the sky to the right of the trees.,9bae360ce7924fc9bc6b1e69976b2c43.jpg,
546,vttie,"Modify this image directly, do not generate a new one. Add the four characters ""彷徨之刃"" on the left side.",80405b3bff4942a79041cfeb1a2fe4e4.jpg,
547,vttie,Get rid of the time stamp at the bottom right.,cd2369773e324a49904674a523e3491c.jpg,
548,vttie,"Add the phrase ""CAT REMOTE"" in small letters.",5e4d0e958d484410b52c93cf9a2ebecf.jpg,
549,vttie,Replace the text 'Ziel' with 'Porte',19eced5e0b6045ac806516d06f2999b9.jpg,
550,vttie,Change the 911 on the ambulance to 411.,d259fad307364fb1b1dca139f185d110.jpg,
551,vttie,Add the word 'dawn' to the sky.,e5a525e60cf64d17bce331cd35073179.jpg,
552,vttie,Add the word 'rose' to the rose vase.,125857d27c8942118bd9958f75e70e8e.jpg,
553,vttie,Add the word 'fork' to the right side of the fork onto the white plalte.[,7e9f26871cd9463595fea9b2cd52d70f.jpg,
554,vttie,Add the word 'surfboarding' in white to the sky.,7d9cfe6c899545b1a2e8f844bbdaf2e7.jpg,
555,vttie,Add the word 'bikes' to the floro.,6103bf906e8445e881aa2c29c88fa152.jpg,
556,vttie,Change 'donuts' to 'bagels'.,48b3ebb8ad194f15aa48fff5fd509306.jpg,
557,vttie,Add the word 'lamp' to the lampshade.,867e3aca66874958968ee06b6b31598d.jpg,
558,vttie,"Add the phrase ""Nite Nite"" to the wall behind the bed.",82a2dceb952244d2a7cf0b88f18a419c.jpg,
559,vttie,Add the word 'peace' in blue to the center of the white shirt above the existing graphic.,19b2cd57a3b34e4c9d9ee7ecce61473a.jpg,
560,vttie,Add the word 'wtf' to the top of the image.,cbf2ec0310394b7aae63066eb9994ac2.jpg,
561,vttie,Add the word 'cow' above the cow.,794550fcf532459c825b52e6be517f4d.jpg,
562,vttie,Change the text '23' to '45',0f604667c4c04ec1a3e4b0d03b4e5bb1.jpg,
563,vttie,Remove the text.,e8b56b7fea8b469db65d549973f4836a.jpg,
564,vttie,Add the word 'dog' below the dog.,07b45b496b39409389111b3cbaab530b.jpg,
565,vttie,Add the word crazy above the figurine.,ee642e1e212d446aa9e466883a7caaad.jpg,
566,vttie,Add the word 'ceiling' to the ceiling above the left person.,8967f5b2af924a5a9a3f21ecc293f0ba.jpg,
567,vttie,Replace the text 'WOOD' with 'LAND',a128dc30c8244d6f8d084ab608924043.jpg,
568,vttie,Remove the text from the image,bf13eb7364a84d369c0a35eb5a505cf1.jpg,
569,vttie,Change the text 'ESTATE TACHEN' to 'Timeless Fashion',1f9e3c0e19734929a57fc09f564264e1.jpg,
570,vttie,Add the word 'sandwich' below the sandwich.,830b01569c8f4283907dcc7856cc9c68.jpg,
571,vttie,Delete the yellow watermark.,a0acfee6718448e5b99367c1558149b5.jpg,
572,vttie,Add the word 'oven' to the bottommost door of the stove.,b8a2e71cd03d4157b0dd5b1ac931b5e5.jpg,
573,vttie,Add the word 'bears above the group of bears to the left.,5279791d36ae4f9c8bcb3852b02ae22a.jpg,
574,vttie,Add the word 'oven' to the door below the stove.,320d3f44f9c140f4995a0869a041b4a8.jpg,
575,vttie,Replace the text 'NATURE' with 'SCIENCE',db6f8d05b99b4e189be0521b3502aa10.jpg,
576,vttie,"Add the word ""SAMSONITE"" to the black suitcase.",31d2ce8078a84871bb2a4bbf6be84cfa.jpg,
577,vttie,"Write the word ""moo"" with tree branches.",b34e989570954ff49bb6313d782717ed.jpg,
578,vttie,Change text 'FAIRGROUNDS' to 'PARKWAY',16669b635bf249f9aee4b3dce548e2ff.jpg,
579,vttie,Add the word 'couch' in gold across the back of the couch.,3986aca39b914e988deee7aa6e39d37d.jpg,
580,vttie,"Add the phrase ""A GOOD MEAL"" on the lower left corner.",bc8822774da04f7aa66b40713a6c07bc.jpg,
581,vttie,Replace the text 'TOFEL' with 'IELTS'.,fe307079f2db4069b5354a6c193af652.jpg,
582,vttie,"Write ""SMILE"" on the board.",6ac3ab302b7144cda925d4b86918338e.jpg,
583,vttie,Change the words on the stop sign to think in green letters.,ce72d8a6dd04459db83ae1ce613f4281.jpg,
584,vttie,"Add an ""S"" to the left hand shaker.",97879bc3dd834274be0b1313185451e5.jpg,
585,vttie,Add the word 'tennis' to the top right of the image.,fb18c4c10afe463bb186e45b1f22c071.jpg,
586,vttie,Add the word 'animals' to the top of the image.,76bad7968d8a4a04be952bbdf3eded27.jpg,
587,vttie,Add the word' kitchen' to the white wall above the stove.,8ef69e39e1ff4c34a7b418faa25363d9.jpg,
588,vttie,Add the word 'bus' to the ridge of the top platform of the bus stop.,98352873c9ce41748ec9193d93d3e134.jpg,
589,vttie,Add the word lights above the string of lights.,dce2600a3a6b41c0bc97d6c4f6a28b10.jpg,
590,vttie,Add the letters of the alphabet to the wall at the border of the ceiling.,bad6a2a910fc40bda55ba712dca40a1d.jpg,
591,vttie,"Delete ""The Haunting of the Castle"".",7e7523a5d3fc456490663e7a7cf02eec.jpg,
592,vttie,Add the word 'beach' to the sky.,d4559a502b764f6395835545bad92bfa.jpg,
593,vttie,Add the word 'ceiling' to the ceiling.,7530dd40e40e48efa1f993db91ab304f.jpg,
594,vttie,"Change ""36-6"" to ""24-7""",1129a9c0bd4341bc93b524179e3f46dd.jpg,
595,vttie,Add the word 'dog' to the top left of the image.,c774aab5acdb49ce9798e9176a1f885d.jpg,
596,vttie,Remove the text from the image,09bd89402d0f433a99cfd10302571670.jpg,
597,vttie,Add the word 'supplies' across the top of the image.,d69f01832e104e47a03d59c870fa4608.jpg,
598,vttie,"Add the word ""I WAS HERE"" to the sand and make it look like it was drawn in the sand.",14047c8c8ae143c0bed4a5d5083f436b.jpg,
599,vttie,Add the word 'pot' in white to the black pot.,b3ec38e046fc408a90d36bb841f81839.jpg,
600,vttie,Add the word 'cane' to the handle of the umbrella.,7a0ab67d83bb4a029dff8a21b31beecb.jpg,
601,vttie,Add the word 'apple' to the left surface of the apple.,3b5d8caa6fee481ba44c121c500485d7.jpg,
602,vttie,Add the word 'chair' to the sofa back.,2f5897e6c4be45bc9a65dd4873d27620.jpg,
603,vttie,Add the words 'food market' to the top of the image.,39165a3b39d049e38daac4eb47fc0f74.jpg,
604,vttie,Add the word cat above the cat.,7c875a2821eb4054985c2b0666d98904.jpg,
605,vttie,Change text '23' to '45',4913f8141112486abbfe4b8284f32333.jpg,
606,vttie,Replace the text 'chicken' with 'beef',587e358ea0844ea1a27e6784db5d84fc.jpg,
